artist,song.name,year,corpus,rank,start,end,male,non.cis,race,ethnicity,primary.status,BIPOC,gender,encoder,
Fountains of Wayne,Radiation Vibe,1996,2021,380,0,9,0,0,0,0,0,0,0,TM,
Frank Ocean,Thinkin Bout You,2012,2021,367,0,6,0,0,0,0,0,0,0,TM,
Frankie Lymon and the Teenagers,Why Do Fools Fall In Love,1956,2004,307,0,11,0,0,0,0,0,0,0,TM,
Freda Payne,Band of Gold,1970,2004,391,0,7,0,0,0,0,0,0,0,TM,
Fugees,Killing Me Softly With His Song,1996,2021,359,0,33,0,0,0,0,0,0,0,TM,
Funkadelic,One Nation Under a Groove,1978,2004,474,0,0,0,0,0,0,0,0,0,TM,
Funkadelic,One Nation Under a Groove,1978,2021,210,0,0,0,0,0,0,0,0,0,TM,
Gene Vincent,Be-Bop-A-Lula,1956,2004,102,0,0,0,0,0,0,0,0,0,TM,
George Harrison,My Sweet Lord,1970,2004,454,0,30,0,0,0,0,0,0,0,TM,
George Jones,He Stopped Loving Her Today,1980,2004,270,0,0,0,0,0,1,0,0,0,TM,
George Jones,He Stopped Loving Her Today,1980,2021,142,0,0,0,0,0,1,0,0,0,TM,
George Michael,Freedom! '90,1990,2021,126,0,10,1,0,0,0,1,0,1,TM,
Geto Boys,Mind Playing Tricks on Me,1991,2021,192,0,9,1,0,1,0,1,1,1,TM,
Gil-Scott Heron,The Revolution Will Not Be Televised,1971,2021,258,0,10,0,0,1,0,1,1,0,TM,
Gladys Knight and the Pips,Midnight Train to Georgia,1973,2004,432,,,0,0,0,0,0,0,0,TM,
Gladys Knight and the Pips,Midnight Train to Georgia,1973,2021,470,,,0,0,0,0,0,0,0,TM,
Glen Campbell,By the Time I Get to Phoenix,1967,2004,450,,,0,0,0,0,0,0,0,TM,
Glen Campbell,Wichita Lineman,1968,2004,192,,,0,0,0,0,0,0,0,TM,
Glen Campbell,Wichita Lineman,1968,2021,206,,,0,0,0,0,0,0,0,TM,
Gloria Gaynor,I Will Survive,1978,2004,489,,,0,0,1,0,1,1,0,TM,
Gloria Gaynor,I Will Survive,1978,2021,251,,,1,0,1,0,1,1,1,TM,
Gnarls Barkley,Crazy,2006,2021,307,,,1,0,1,0,1,1,1,TM,
Grandmaster Flash and the Furious Five,The Message,1982,2004,51,,,1,0,1,0,1,1,1,TM,
Grandmaster Flash and the Furious Five,The Message,1982,2021,59,,,0,0,0,0,0,0,0,TM,
Green Day,Basket Case,1994,2021,150,,,0,0,0,0,0,0,0,TM,
Guns N' Roses,Paradise City,1987,2004,453,,,0,0,1,0,1,1,0,TM,
Guns N' Roses,Sweet Child O' Mine,1987,2004,196,,,1,0,1,0,1,1,1,TM,
Guns N' Roses,Sweet Child O' Mine,1987,2021,88,,,0,0,0,1,0,0,0,TM,
Guns N' Roses,Welcome to the Jungle,1987,2004,467,,,0,0,0,1,0,0,0,TM,
Guns N' Roses,Welcome to the Jungle,1987,2021,491,,,0,0,1,0,1,1,0,TM,
Hall and Oates,She's Gone,1973,2021,336,,,0,0,1,0,1,1,0,TM,
Hank Williams,I'm So Lonesome I Could Cry,1949,2004,111,,,0,0,1,0,1,1,0,TM,
Hank Williams,I'm So Lonesome I Could Cry,1949,2021,165,,,0,0,1,0,1,1,0,TM,
Hank Williams,Your Cheatin' Heart,1953,2004,213,,,0,0,0,0,0,0,0,TM,
Hank Williams,Your Cheatin' Heart,1953,2021,237,,,0,0,0,0,0,0,0,TM,
Harry Nilsson,Without You,1971,2021,496,,,0,0,0,0,0,0,0,TM,
Harry Styles,Sign of the Times,2017,2021,428,,,0,0,0,0,0,0,0,TM,
Hole,Doll Parts,1994,2021,208,,,0,0,1,0,1,1,0,TM,
Howlin' Wolf,Smoke Stack Lightning,1956,2004,285,,,0,0,1,0,1,1,0,TM,
Howlin' Wolf,Spoonful,1960,2004,219,,,0,0,1,0,1,1,0,TM,
Howlin' Wolf,Spoonful,1960,2021,154,,,0,0,1,0,1,1,0,TM,
Ice Cube,It Was a Good Day,1992,2021,352,,,0,0,1,0,1,1,0,TM,
Iggy Pop,Lust for Life,1977,2004,147,,,0,0,1,1,1,1,0,TM,
Iggy Pop,Lust for Life,1977,2021,325,,,0,0,1,1,1,1,0,TM,
Ike and Tina Turner,River Deep - Mountain High,1966,2004,33,,,0,0,1,1,1,1,0,TM,
Ike and Tina Turner,"River Deep, Mountain High",1966,2021,221,,,0,0,1,0,1,1,0,TM,
INXS,Never Tear Us Apart,1988,2021,282,,,0,0,0,0,0,0,0,TM,
Isaac Hayes,Walk on By,1969,2021,312,,,0,0,1,0,1,1,0,TM,
Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,1967,2004,246,,,0,0,1,0,1,1,0,TM,
Jackie Wilson,Lonely Teardrops,1958,2004,308,,,0,0,1,0,1,1,0,TM,
Jackson Browne,Running On Empty,1977,2004,492,,,0,0,0,0,0,0,0,TM,
James Brown,Get Up (I Feel Like Being a) Sex Machine,1970,2004,326,,,0,0,0,0,0,0,0,TM,
James Brown,Get Up (I Feel Like Being a) Sex Machine,1970,2021,196,,,0,0,0,0,0,0,0,TM,
James Brown,I Got You (I Feel Good),1965,2004,78,,,0,0,0,0,0,0,0,TM,
