artist,title,primary.status,BIHAP,gender,year,corpus,total,rank
Amy Winehouse,Back to Black,1,1,1,2006,2021,15,79
The Byrds,Mr. Tambourine Man,0,0,0,1965,2004,8,79
Ray Charles,What'd I Say,1,1,0,1957,2021,48,80
Marvin Gaye,I Heard It Through the Grapevine,1,1,0,1968,2004,20,80
Fats Domino,Blueberry Hill,1,1,0,1956,2004,10,81
The Velvet Underground,I'm Waiting for the Man,0,0,0,1967,2004,16,81
Adele,Rolling in the Deep,1,0,1,2011,2021,5,82
The Kinks,You Really Got Me,0,0,0,1964,2004,7,82
Bob Dylan,Desolation Row,0,0,0,1965,2021,8,83
The Beatles,Norwegian Wood (This Bird Has Flown),0,0,0,1965,2004,15,83
Al Green,Let's Stay Together,1,1,0,1971,2021,10,84
The Police,Every Breath You Take,0,0,0,1983,2004,14,84
Prince,Kiss,1,1,0,1986,2021,0,85
Patsy Cline,Crazy,1,0,1,1961,2004,13,85
The Rolling Stones,Tumbling Dice,0,0,0,1972,2021,11,86
Bruce Springsteen,Thunder Road,0,0,0,1975,2004,18,86
LCD Soundsystem,All My Friends,1,1,1,2007,2021,81,87
Johnny Cash,Ring of Fire,0,0,0,1963,2004,9,87
Guns N' Roses,Sweet Child O' Mine,0,0,0,1987,2021,30,88
The Temptations,My Girl,1,1,0,1964,2004,9,88
The Beatles,Hey Jude,0,0,0,1968,2021,0,89
The Mamas and the Papas,California Dreamin',1,0,1,1965,2004,7,89
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1,1,1,1967,2021,3,90
The Five Satins,In the Still of the Night,1,1,0,1956,2004,13,90
UGK feat. Outkast,Int'l Players Anthem (I Choose You),1,1,0,2007,2021,73,91
Elvis Presley,Suspicious Minds,0,0,0,1969,2004,5,91
Little Richard,"Good Golly, Miss Molly",1,1,0,1958,2021,17,92
Ramones,Blitzkrieg Bop,0,0,0,1976,2004,33,92
Kelly Clarkson,Since U Been Gone,1,0,1,2004,2021,4,93
U2,I Still Haven't Found What I'm Looking For,0,0,0,1987,2004,27,93
Whitney Houston,I Will Always Love You,1,1,1,1992,2021,41,94
Little Richard,"Good Golly, Miss Molly",1,1,0,1958,2004,17,94
Oasis,Wonderwall,0,0,0,1995,2021,20,95
Carl Perkins,Blue Suede Shoes,0,0,0,1956,2004,8,95
Jay-Z,99 Problems,1,1,0,2003,2021,0,96
Jerry Lee Lewis,Great Balls Of Fire,0,0,0,1957,2004,0,96
Patti Smith,Gloria,0,0,0,1975,2021,22,97
Chuck Berry,Roll Over Beethoven,1,1,0,1956,2004,15,97
The Beatles,In My Life,0,0,0,1965,2021,8,98
Al Green,Love and Happiness,1,1,0,1972,2004,3,98
Bee Gees,Stayin' Alive,0,0,0,1977,2021,14,99
Creedence Clearwater Revival,Fortunate Son,0,0,0,1969,2004,18,99
Bob Dylan,Blowin' in the Wind,0,0,0,1963,2021,2,100
The Rolling Stones,You Can't Always Get What You Want,0,0,0,1969,2004,74,100
Yeah Yeah Yeahs,Maps,1,1,1,2003,2021,28,101
Chuck Berry,Maybellene,1,1,0,1955,2021,4,102
Gene Vincent,Be-Bop-A-Lula,0,0,0,1956,2004,0,102
Alanis Morissette,You Oughta Know,1,0,1,1995,2021,0,103
Donna Summer,Hot Stuff,1,1,1,1979,2004,31,103
The Jackson 5,I Want You Back,1,1,0,1969,2021,30,104
